type,company,facility,unit,fuel,control_area,begin_ts,end_ts,limitation,reason,status,event_id,last_update
Planned,Vattenfall GmbH,PSW Goldisthal,PSW Goldisthal PSS A,Pumped Storage,50Hertz,2017-11-30T09:00:00,2017-11-30T18:30:00,265,Maintenance,Active,1032009#693,2017-11-30T18:26:52
Planned,RWE,Weisweiler,Weisweiler G,Lignite,Amprion,2017-12-22T18:30:00,2017-12-30T23:00:00,663,Outage,Active,2017385918#922,2017-11-30T18:10:16
Unscheduled,Steag,KW Fenne,Fenne MKV,Hard Coal,Amprion,2017-11-30T11:10:00,2017-11-30T17:44:00,179,Outage,Active,201704416#1265,2017-11-30T17:45:54
Planned,RWE,Gundremmingen,Gundremmingen B,Nuclear,Amprion,2017-12-31T10:11:00,2017-12-31T12:00:00,1180,Other,Active,2017385914#942,2017-11-30T17:43:08
Planned,RWE,Gundremmingen,Gundremmingen B,Nuclear,Amprion,2017-12-31T12:00:00,2017-12-31T23:59:00,1284,Other,Active,2017385915#942,2017-11-30T17:42:48
Planned,RWE,Gundremmingen,Gundremmingen B,Nuclear,Amprion,2017-12-31T09:20:00,2017-12-31T10:00:00,910,Other,Inactive,2017385913#942,2017-11-30T17:41:53
Planned,LEAG,KW Boxberg,KW Boxberg Block R,Lignite,50Hertz,2017-12-01T14:00:00,2017-12-02T21:00:00,104,Maintenance,Active,1034852#3196,2017-11-30T17:23:11
Planned,RWE,Gundremmingen,Gundremmingen B,Nuclear,Amprion,2017-12-31T09:02:00,2017-12-31T09:47:00,770,Other,Inactive,2017385912#942,2017-11-30T17:18:10
Planned,LEAG,KW Boxberg,KW Boxberg Block R,Lignite,50Hertz,2017-12-02T21:00:00,2017-12-04T05:00:00,103,Maintenance,Active,1034872#3196,2017-11-30T17:13:15
Planned,RWE,Gundremmingen,Gundremmingen B,Nuclear,Amprion,2017-12-31T08:00:00,2017-12-31T08:45:00,512,Other,Active,2017385911#942,2017-11-30T17:11:19
Planned,RWE,Gundremmingen,Gundremmingen B,Nuclear,Amprion,2017-09-04T12:00:00,2017-12-31T08:00:00,75,Other,Active,2017378210#942,2017-11-30T17:05:59
Planned,RWE,Gundremmingen,Gundremmingen B,Nuclear,Amprion,2017-12-25T14:00:00,2017-12-31T08:00:00,430,External Factors,Active,2017383636#942,2017-11-30T17:02:38
Planned,VERBUND,Kraftwerk Jochenstein DE,Jochenstein-DE,Run-of-River,Tennet (DE),2017-11-30T07:00:00,2017-11-30T17:00:00,28.9,Maintenance,Inactive,X192855YX192854DE#2664,2017-11-30T17:00:42
Planned,VERBUND,Kraftwerk Jochenstein AT,Jochenstein-AT,Run-of-River,APG,2017-11-30T07:00:00,2017-11-30T17:00:00,28.9,Maintenance,Inactive,X192855YX192854#2662,2017-11-30T17:00:42
Planned,RWE,GuD Dormagen,GuD Dormagen,Gas,Amprion,2017-11-30T13:00:00,2017-11-30T16:17:00,30,Other,Active,2017385889#902,2017-11-30T16:18:54
